2026-05-08 10:03:23 | 192.168.126.89 | Command: SET kSET <key> <value>\n | Result: OK
2026-05-08 10:03:31 | 192.168.126.89 | Command: GET <key>\n | Result: NOT_FOUND
2026-05-08 10:03:39 | 192.168.126.89 | Command: GET <key> | Result: NOT_FOUND
2026-05-08 10:03:44 | 192.168.126.89 | Command: Delete key | Result: ERROR: unknown_command
2026-05-08 10:03:50 | 192.168.126.89 | Command: GET <key> | Result: NOT_FOUND
2026-05-08 10:03:55 | 192.168.126.89 | Command: DEL <key> | Result: NOT_FOUND
2026-05-08 10:04:04 | 192.168.126.89 | Command: GET <key>\n | Result: NOT_FOUND
2026-05-08 10:04:09 | 192.168.126.89 | Command: QUIT | Result: BYE
2026-05-08 10:04:57 | 192.168.126.89 | Command: GET | Result: ERROR: invalid_key
2026-05-08 10:05:03 | 192.168.126.89 | Command: GET 1000 | Result: NOT_FOUND
2026-05-08 10:05:26 | 192.168.126.89 | Command: SET name Alex | Result: OK
2026-05-08 10:05:31 | 192.168.126.89 | Command: SET age 19 | Result: OK
2026-05-08 10:05:46 | 192.168.126.89 | Command: SET weight 1000 | Result: OK
2026-05-08 10:05:50 | 192.168.126.89 | Command: GET weight  | Result: VALUE: 1000
2026-05-08 10:05:55 | 192.168.126.89 | Command: GET age | Result: VALUE: 19
2026-05-08 10:05:59 | 192.168.126.89 | Command: DEL weight | Result: DELETED
2026-05-08 10:06:06 | 192.168.126.89 | Command: GET weight | Result: NOT_FOUND
2026-05-08 10:06:08 | 192.168.126.89 | Command: quit | Result: ERROR: unknown_command
2026-05-08 10:06:09 | 192.168.126.89 | Command: QUIT | Result: BYE
2026-05-08 10:07:35 | 192.168.126.141 | Command: GET | Result: ERROR: invalid_key
2026-05-08 10:07:44 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:08 | 192.168.126.141 | Command: GET weight | Result: NOT_FOUND
2026-05-08 10:08:19 | 192.168.126.141 | Command: GET weight | Result: NOT_FOUND
2026-05-08 10:08:35 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:35 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:35 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:36 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:36 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:37 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:37 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:37 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:37 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:38 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:38 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:38 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:38 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:38 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:39 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:39 | 192.168.126.141 | Command: GET age | Result: VALUE: 19
2026-05-08 10:08:39 | 192.168.126.141 | Command: GET | Result: ERROR: invalid_key
2026-05-08 10:08:39 | 192.168.126.141 | Command: GET | Result: ERROR: invalid_key
2026-05-08 10:08:40 | 192.168.126.141 | Command: GET | Result: ERROR: invalid_key
2026-05-08 10:08:40 | 192.168.126.141 | Command: GET | Result: ERROR: invalid_key
2026-05-08 10:08:40 | 192.168.126.141 | Command: GET | Result: ERROR: invalid_key
2026-05-08 10:08:40 | 192.168.126.141 | Command: GET | Result: ERROR: invalid_key
2026-05-08 10:08:40 | 192.168.126.141 | Command: GET | Result: ERROR: invalid_key
2026-05-13 17:17:24 | 192.168.126.89 | Command: SET age 100 | Result: OK
2026-05-13 17:17:30 | 192.168.126.89 | Command: SET name Aleksey | Result: OK
2026-05-13 17:17:39 | 192.168.126.89 | Command: SET weight 179 | Result: OK
2026-05-13 17:17:48 | 192.168.126.89 | Command: SET kg 70 | Result: OK
2026-05-13 17:17:52 | 192.168.126.89 | Command: GET name | Result: VALUE: Aleksey
2026-05-13 17:17:55 | 192.168.126.89 | Command: GET kg | Result: VALUE: 70
2026-05-13 17:17:59 | 192.168.126.89 | Command: get kg | Result: ERROR: unknown_command
2026-05-13 17:18:02 | 192.168.126.89 | Command: GET age | Result: VALUE: 100
2026-05-13 17:18:05 | 192.168.126.89 | Command: DEL age | Result: DELETED
2026-05-13 17:18:08 | 192.168.126.89 | Command: SET age 19 | Result: OK
2026-05-13 17:18:11 | 192.168.126.89 | Command: QUIT | Result: BYE
2026-05-13 17:18:27 | 192.168.126.89 | Command: SET age 100 | Result: OK
2026-05-13 17:18:29 | 192.168.126.89 | Command: DEL age | Result: DELETED
2026-05-13 17:18:32 | 192.168.126.89 | Command: SET age 19 | Result: OK
2026-05-13 17:18:37 | 192.168.126.89 | Command: EXIT | Result: ERROR: unknown_command
2026-05-13 17:18:39 | 192.168.126.89 | Command: exit | Result: ERROR: unknown_command
2026-05-13 17:18:41 | 192.168.126.89 | Command: quit | Result: ERROR: unknown_command
2026-05-13 17:18:42 | 192.168.126.89 | Command: QUIT | Result: BYE
2026-05-13 17:25:22 | 192.168.126.21 | Command: SET exam=PASS | Result: OK
2026-05-13 17:25:30 | 192.168.126.21 | Command: GET exam | Result: NOT_FOUND
2026-05-13 17:25:52 | 192.168.126.21 | Command: GET exam=PASS | Result: VALUE: 
2026-05-13 17:25:57 | 192.168.126.21 | Command: GET exam PASS | Result: NOT_FOUND
2026-05-13 17:26:02 | 192.168.126.21 | Command: SET exam PASS | Result: OK
2026-05-13 17:26:06 | 192.168.126.21 | Command: GET exam | Result: VALUE: PASS
2026-05-13 17:26:18 | 192.168.126.21 | Command: SET name GKJHGHK JLLKJLKJ | Result: OK
